time,input,output_clean,output_noisy
13.20,1.0,1.970992,2.145564
13.30,1.0,1.971943,1.803851
13.40,1.0,1.972863,2.071925
13.50,1.0,1.973753,2.032888
13.60,1.0,1.974613,2.127968
13.70,1.0,1.975445,2.046684
13.80,1.0,1.976250,1.981457
13.90,1.0,1.977029,1.924864
14.00,1.0,1.977782,1.852964
14.10,1.0,1.978510,1.998053
14.20,1.0,1.979215,1.960045
14.30,1.0,1.979896,2.181923
14.40,1.0,1.980555,1.919453
14.50,1.0,1.981193,2.013232
14.60,1.0,1.981809,1.824909
14.70,1.0,1.982406,1.942860
14.80,1.0,1.982983,2.009097
14.90,1.0,1.983541,2.065937
15.00,1.0,1.984080,2.128890
15.10,1.0,1.984602,1.980187
15.20,1.0,1.985107,1.873382
15.30,1.0,1.985595,2.031380
15.40,1.0,1.986067,2.037766
15.50,1.0,1.986524,2.035690
15.60,1.0,1.986966,1.916937
15.70,1.0,1.987393,2.100732
15.80,1.0,1.987807,1.996596
15.90,1.0,1.988206,2.058189
16.00,1.0,1.988593,2.116000
16.10,1.0,1.988967,2.049894
16.20,1.0,1.989329,2.017980
16.30,1.0,1.989678,2.204958
16.40,1.0,1.990017,2.014387
16.50,1.0,1.990344,1.960748
16.60,1.0,1.990661,2.001857
16.70,1.0,1.990967,2.139244
16.80,1.0,1.991263,2.003134
16.90,1.0,1.991549,2.043487
17.00,1.0,1.991826,2.111400
17.10,1.0,1.992094,1.940809
17.20,1.0,1.992354,1.819697
17.30,1.0,1.992604,2.022547
17.40,1.0,1.992847,2.015820
17.50,1.0,1.993081,1.932280
17.60,1.0,1.993308,2.080417
17.70,1.0,1.993527,2.054284
17.80,1.0,1.993740,1.894240
17.90,1.0,1.993945,2.045767
18.00,1.0,1.994143,1.974533
18.10,1.0,1.994335,1.846033
18.20,1.0,1.994521,2.039816
18.30,1.0,1.994701,1.990179
18.40,1.0,1.994874,1.920346
18.50,1.0,1.995042,2.047337
18.60,1.0,1.995205,2.044014
18.70,1.0,1.995362,1.937609
18.80,1.0,1.995514,2.035549
18.90,1.0,1.995661,2.097168
19.00,1.0,1.995804,1.924537
19.10,1.0,1.995941,2.034030
19.20,1.0,1.996074,1.996350
19.30,1.0,1.996203,2.222804
19.40,1.0,1.996327,1.810097
19.50,1.0,1.996448,2.065976
19.60,1.0,1.996564,1.965940
19.70,1.0,1.996677,1.986657
19.80,1.0,1.996786,2.186945
19.90,1.0,1.996891,1.996034
